Sno,ID,Subject,Subject Code,Type,Year,Branch,Acad Year,Sem,Credits
87,N240767,English-IV,23PEG2201,Core-1,P2,PUC,2025-26,Semester II,4
88,N240767,Mathematics-IV,23PMA2201,Core-2,P2,PUC,2025-26,Semester II,5
89,N240767,Physics-IV,23PPY2201,Core-3,P2,PUC,2025-26,Semester II,4
90,N240767,Physics Lab – IV,23PPY2210,Core-4,P2,PUC,2025-26,Semester II,1
91,N240767,Chemistry – IV,23PCY2201,Core-5,P2,PUC,2025-26,Semester II,4
92,N240767,Chemistry Lab –IV,23PCY2210,Core-6,P2,PUC,2025-26,Semester II,1
93,N240767,Telugu – IV,23PTE2201,Core-7,P2,PUC,2025-26,Semester II,3
94,N240767,Python Programming Language,23PIT2201,Core-8,P2,PUC,2025-26,Semester II,2
95,N240767,Python Programming Language Lab,23PIT2210,Core-9,P2,PUC,2025-26,Semester II,1
96,N210839,Database Management System,23CS2302,ESC,E2,MME,2025-26,Semester II,3
97,N210839,Gender sensitization,23HS2205,MC,E2,MME,2025-26,Semester II,0
98,N210839,Transport Phenomena in Materials,23MM2201,PCC-1,E2,MME,2025-26,Semester II,3
99,N210839,Iron making Technology,23MM2202,PCC-2,E2,MME,2025-26,Semester II,3
100,N210839,Metal Forming,23MM2203,PCC-3,E2,MME,2025-26,Semester II,3
101,N210839,Corrosion Engineering,23MM2204,PCC-4,E2,MME,2025-26,Semester II,3
102,N210839,Science and Technology of Ceramics,23MM2205,PCC-5,E2,MME,2025-26,Semester II,3
103,N210839,Metal Forming Laboratory,23MM2281,PCC-6,E2,MME,2025-26,Semester II,1.5
104,N210839,Corrosion Engineering Laboratory,23MM2282,PCC-7,E2,MME,2025-26,Semester II,1.5
105,N210903,English Language Communication Skills Lab-III,23EG3283,HSC-1,E3,MME,2025-26,Semester II,1.5
106,N210903,Managerial Economics and Financial Analysis,23BM3201,HSC-2,E3,MME,2025-26,Semester II,3
107,N210903,Metal Joining and Non- Destructive Testing,23MM3201,PCC-1,E3,MME,2025-26,Semester II,3
108,N210903,Computational Materials Engineering,23MM3202,PCC-2,E3,MME,2025-26,Semester II,3
109,N210903,"Processing of Polymer, Ceramics and Composites",23MM3203,PCC-3,E3,MME,2025-26,Semester II,3
110,N210903,Metal Joining and Non- Destructive Testing Lab,23MM3281,PCC-4,E3,MME,2025-26,Semester II,1.5
111,N210903,Computational Materials Engineering Lab,23MM3282,PCC-5,E3,MME,2025-26,Semester II,1.5
112,N210903,Welding Processes,MMNPTEL01,PEC-1,E3,MME,2025-26,Semester II,3
113,N210903,Minor Project,23MM3291,PROJ,E3,MME,2025-26,Semester II,2.5
114,N210903,Summer Internship,23MM3292,SI,E3,MME,2025-26,Semester II,2.5
115,N201049,Indian Community Services,20HS4299,MC,E4,MME,2025-26,Semester II,2
116,N201049,Biology for Engineers,23BE4202,OEC-3,E4,MME,2025-26,Semester II,3
117,N201049,Global Management Prespectives,23BM4205,OEC-4,E4,MME,2025-26,Semester II,3
118,N201049,Surface Engineering for Corrosion and Wear resistance Application,MMNPTEL02,PEC-4,E4,MME,2025-26,Semester II,3
119,N201049,Major Project – 2,20MM4291,PROJ,E4,MME,2025-26,Semester II,4
120,N221229,Basics of Electrical and Electronics Engineering,23EC2209,ESC-1,E2,CHE,2025-26,Semester II,3
121,N221229,Object Oriented Programming Through JAVA,23CS2207,ESC-2,E2,CHE,2025-26,Semester II,3
122,N221229,Object Oriented Programming Through JAVA Lab,23CS2287,ESC-3,E2,CHE,2025-26,Semester II,1.5
123,N221229,Chemical Reaction Engineering-I,23CH2201,PCC-1,E2,CHE,2025-26,Semester II,4
124,N221229,Mass Transfer Operations-I,23CH2202,PCC-2,E2,CHE,2025-26,Semester II,3
125,N221229,Thermo Dynamics-II,23CH2203,PCC-3,E2,CHE,2025-26,Semester II,3
126,N221229,Heat Transfer Lab,23CH2281,PCC-4,E2,CHE,2025-26,Semester II,1.5
127,N221229,Mechanical Unit Operation Lab,23CH2282,PCC-5,E2,CHE,2025-26,Semester II,1.5
128,N211098,English Language Communication Skills Lab-III,23EG3283,HSC-1,E3,MME,2025-26,Semester II,1.5
129,N211098,Managerial Economics and Financial Analysis,23BM3201,HSC-2,E3,MME,2025-26,Semester II,3
130,N211098,Metal Joining and Non- Destructive Testing,23MM3201,PCC-1,E3,MME,2025-26,Semester II,3
131,N211098,Computational Materials Engineering,23MM3202,PCC-2,E3,MME,2025-26,Semester II,3
132,N211098,"Processing of Polymer, Ceramics and Composites",23MM3203,PCC-3,E3,MME,2025-26,Semester II,3
133,N211098,Metal Joining and Non- Destructive Testing Lab,23MM3281,PCC-4,E3,MME,2025-26,Semester II,1.5
134,N211098,Computational Materials Engineering Lab,23MM3282,PCC-5,E3,MME,2025-26,Semester II,1.5
135,N211098,Welding Processes,MMNPTEL01,PEC-1,E3,MME,2025-26,Semester II,3
136,N211098,Minor Project,23MM3291,PROJ,E3,MME,2025-26,Semester II,2.5
137,N211098,Summer Internship,23MM3292,SI,E3,MME,2025-26,Semester II,2.5
138,N210493,English Language Communication Skills Lab-III,23EG3283,HSC-1,E3,MME,2025-26,Semester II,1.5
139,N210493,Managerial Economics and Financial Analysis,23BM3201,HSC-2,E3,MME,2025-26,Semester II,3
140,N210493,Metal Joining and Non- Destructive Testing,23MM3201,PCC-1,E3,MME,2025-26,Semester II,3
141,N210493,Computational Materials Engineering,23MM3202,PCC-2,E3,MME,2025-26,Semester II,3
142,N210493,"Processing of Polymer, Ceramics and Composites",23MM3203,PCC-3,E3,MME,2025-26,Semester II,3
143,N210493,Metal Joining and Non- Destructive Testing Lab,23MM3281,PCC-4,E3,MME,2025-26,Semester II,1.5
144,N210493,Computational Materials Engineering Lab,23MM3282,PCC-5,E3,MME,2025-26,Semester II,1.5
145,N210493,Welding Processes,MMNPTEL01,PEC-1,E3,MME,2025-26,Semester II,3
146,N210493,Minor Project,23MM3291,PROJ,E3,MME,2025-26,Semester II,2.5
147,N210493,Summer Internship,23MM3292,SI,E3,MME,2025-26,Semester II,2.5
148,N200734,Community Service,20CS4299,HSC,E4,CSE,2025-26,Semester II,2
149,N200734,Global Management Perspectives,20HS4205,OEC-III,E4,CSE,2025-26,Semester II,3
